Starting Adafruit TSL2591 Test!
Found a TSL2591 sensor
------------------------------------
Sensor:       TSL2591
Driver Ver:   1
Unique ID:    2591
Max Value:    88000.00 lux
Min Value:    0.00 lux
Resolution:   1.00 lux
------------------------------------

------------------------------------
Gain:         9876x (Max)
Timing:       100 ms
------------------------------------

[ 70675 ms ] IR: 39  Full: 107  Visible: 68  Lux: 0
[ 71298 ms ] IR: 37  Full: 91  Visible: 54  Lux: 0
[ 71921 ms ] IR: 23  Full: 103  Visible: 80  Lux: 0
[ 72544 ms ] IR: 36  Full: 88  Visible: 52  Lux: 0
[ 73167 ms ] IR: 21  Full: 97  Visible: 76  Lux: 0
[ 73790 ms ] IR: 34  Full: 86  Visible: 52  Lux: 0
[ 74413 ms ] IR: 21  Full: 87  Visible: 66  Lux: 0
[ 75036 ms ] IR: 21  Full: 101  Visible: 80  Lux: 0
[ 75659 ms ] IR: 35  Full: 98  Visible: 63  Lux: 0
[ 76281 ms ] IR: 35  Full: 82  Visible: 47  Lux: 0
[ 76905 ms ] IR: 21  Full: 93  Visible: 72  Lux: 0
[ 77528 ms ] IR: 34  Full: 83  Visible: 49  Lux: 0
[ 78151 ms ] IR: 21  Full: 97  Visible: 76  Lux: 0
[ 78774 ms ] IR: 35  Full: 97  Visible: 62  Lux: 0
[ 79396 ms ] IR: 35  Full: 87  Visible: 52  Lux: 0
[ 80020 ms ] IR: 21  Full: 94  Visible: 73  Lux: 0
[ 80643 ms ] IR: 34  Full: 89  Visible: 55  Lux: 0
[ 81265 ms ] IR: 32  Full: 73  Visible: 41  Lux: 0
[ 81889 ms ] IR: 20  Full: 80  Visible: 60  Lux: 0
[ 82511 ms ] IR: 23  Full: 71  Visible: 48  Lux: 0
[ 83134 ms ] IR: 19  Full: 72  Visible: 53  Lux: 0
[ 83758 ms ] IR: 20  Full: 86  Visible: 66  Lux: 0
[ 84380 ms ] IR: 33  Full: 86  Visible: 53  Lux: 0
[ 85003 ms ] IR: 33  Full: 70  Visible: 37  Lux: 0
[ 85626 ms ] IR: 18  Full: 80  Visible: 62  Lux: 0
[ 86249 ms ] IR: 31  Full: 70  Visible: 39  Lux: 0
[ 86873 ms ] IR: 19  Full: 79  Visible: 60  Lux: 0
[ 87495 ms ] IR: 32  Full: 77  Visible: 45  Lux: 0
[ 88118 ms ] IR: 31  Full: 79  Visible: 48  Lux: 0
[ 88741 ms ] IR: 31  Full: 88  Visible: 57  Lux: 0
[ 89364 ms ] IR: 33  Full: 86  Visible: 53  Lux: 0
[ 89987 ms ] IR: 33  Full: 86  Visible: 53  Lux: 0
[ 90610 ms ] IR: 33  Full: 87  Visible: 54  Lux: 0
[ 91233 ms ] IR: 32  Full: 69  Visible: 37  Lux: 0
[ 91855 ms ] IR: 18  Full: 93  Visible: 75  Lux: 0
[ 92479 ms ] IR: 41  Full: 16  Visible: 65511  Lux: 0
[ 93102 ms ] IR: 0  Full: 31  Visible: 31  Lux: 0
[ 93725 ms ] IR: 13  Full: 30  Visible: 17  Lux: 0
[ 94348 ms ] IR: 13  Full: 31  Visible: 18  Lux: 0
[ 94970 ms ] IR: 13  Full: 31  Visible: 18  Lux: 0
[ 95594 ms ] IR: 13  Full: 34  Visible: 21  Lux: 0
[ 96217 ms ] IR: 14  Full: 34  Visible: 20  Lux: 0
[ 96839 ms ] IR: 13  Full: 34  Visible: 21  Lux: 0
[ 97463 ms ] IR: 15  Full: 59  Visible: 44  Lux: 0
[ 98085 ms ] IR: 26  Full: 51  Visible: 25  Lux: 0
[ 98708 ms ] IR: 14  Full: 64  Visible: 50  Lux: 0
[ 99332 ms ] IR: 28  Full: 53  Visible: 25  Lux: 0
[ 99954 ms ] IR: 16  Full: 60  Visible: 44  Lux: 0
[ 100578 ms ] IR: 27  Full: 65  Visible: 38  Lux: 0
[ 101200 ms ] IR: 27  Full: 50  Visible: 23  Lux: 0
[ 101823 ms ] IR: 13  Full: 59  Visible: 46  Lux: 0
[ 102447 ms ] IR: 25  Full: 58  Visible: 33  Lux: 0
[ 103069 ms ] IR: 25  Full: 49  Visible: 24  Lux: 0
[ 103693 ms ] IR: 14  Full: 62  Visible: 48  Lux: 0
[ 104315 ms ] IR: 28  Full: 59  Visible: 31  Lux: 0
[ 104938 ms ] IR: 27  Full: 57  Visible: 30  Lux: 0
[ 105562 ms ] IR: 16  Full: 62  Visible: 46  Lux: 0
[ 106184 ms ] IR: 27  Full: 58  Visible: 31  Lux: 0
[ 106808 ms ] IR: 26  Full: 60  Visible: 34  Lux: 0
[ 107430 ms ] IR: 27  Full: 66  Visible: 39  Lux: 0
[ 108053 ms ] IR: 29  Full: 83  Visible: 54  Lux: 0
[ 108677 ms ] IR: 37  Full: 94  Visible: 57  Lux: 0
[ 109299 ms ] IR: 44  Full: 80  Visible: 36  Lux: 0
[ 109923 ms ] IR: 30  Full: 96  Visible: 66  Lux: 0
[ 110545 ms ] IR: 40  Full: 82  Visible: 42  Lux: 0
[ 111168 ms ] IR: 31  Full: 72  Visible: 41  Lux: 0
[ 111792 ms ] IR: 26  Full: 83  Visible: 57  Lux: 0
[ 112414 ms ] IR: 39  Full: 95  Visible: 56  Lux: 0
[ 113038 ms ] IR: 39  Full: 72  Visible: 33  Lux: 0
[ 113660 ms ] IR: 24  Full: 76  Visible: 52  Lux: 0
[ 114283 ms ] IR: 36  Full: 65  Visible: 29  Lux: 0
[ 114907 ms ] IR: 23  Full: 61  Visible: 38  Lux: 0
[ 115529 ms ] IR: 21  Full: 77  Visible: 56  Lux: 0
[ 116153 ms ] IR: 36  Full: 64  Visible: 28  Lux: 0
[ 116775 ms ] IR: 29  Full: 51  Visible: 22  Lux: 0
[ 117398 ms ] IR: 16  Full: 52  Visible: 36  Lux: 0
[ 118022 ms ] IR: 16  Full: 60  Visible: 44  Lux: 0
[ 118644 ms ] IR: 30  Full: 48  Visible: 18  Lux: 0
[ 119268 ms ] IR: 14  Full: 321  Visible: 307  Lux: 0
[ 119890 ms ] IR: 69  Full: 376  Visible: 307  Lux: 0
[ 120514 ms ] IR: 90  Full: 398  Visible: 308  Lux: 0
[ 121137 ms ] IR: 94  Full: 446  Visible: 352  Lux: 0
[ 121760 ms ] IR: 94  Full: 479  Visible: 385  Lux: 0
[ 122383 ms ] IR: 109  Full: 515  Visible: 406  Lux: 0
[ 123006 ms ] IR: 115  Full: 520  Visible: 405  Lux: 0
[ 123629 ms ] IR: 116  Full: 520  Visible: 404  Lux: 0
[ 124253 ms ] IR: 116  Full: 439  Visible: 323  Lux: 0
[ 124875 ms ] IR: 93  Full: 320  Visible: 227  Lux: 0
[ 125499 ms ] IR: 64  Full: 74  Visible: 10  Lux: 0
[ 126121 ms ] IR: 33  Full: 54  Visible: 21  Lux: 0
[ 126745 ms ] IR: 25  Full: 49  Visible: 24  Lux: 0
[ 127368 ms ] IR: 22  Full: 49  Visible: 27  Lux: 0
[ 127991 ms ] IR: 15  Full: 63  Visible: 48  Lux: 0
[ 128614 ms ] IR: 28  Full: 68  Visible: 40  Lux: 0
[ 129236 ms ] IR: 31  Full: 73  Visible: 42  Lux: 0
[ 129860 ms ] IR: 25  Full: 86  Visible: 61  Lux: 0
[ 130483 ms ] IR: 39  Full: 82  Visible: 43  Lux: 0
[ 131106 ms ] IR: 37  Full: 68  Visible: 31  Lux: 0
[ 131729 ms ] IR: 23  Full: 68  Visible: 45  Lux: 0
[ 132352 ms ] IR: 24  Full: 78  Visible: 54  Lux: 0
[ 132975 ms ] IR: 36  Full: 69  Visible: 33  Lux: 0
[ 133598 ms ] IR: 25  Full: 78  Visible: 53  Lux: 0
[ 134221 ms ] IR: 36  Full: 63  Visible: 27  Lux: 0
[ 134844 ms ] IR: 21  Full: 73  Visible: 52  Lux: 0
[ 135467 ms ] IR: 33  Full: 58  Visible: 25  Lux: 0
[ 136090 ms ] IR: 21  Full: 39  Visible: 18  Lux: 0
[ 136713 ms ] IR: 14  Full: 50  Visible: 36  Lux: 0
[ 137336 ms ] IR: 27  Full: 56  Visible: 29  Lux: 0
[ 137959 ms ] IR: 29  Full: 44  Visible: 15  Lux: 0
[ 138582 ms ] IR: 15  Full: 54  Visible: 39  Lux: 0
[ 139205 ms ] IR: 27  Full: 35  Visible: 8  Lux: 0
[ 139828 ms ] IR: 10  Full: 42  Visible: 32  Lux: 0
[ 140451 ms ] IR: 21  Full: 53  Visible: 32  Lux: 0
[ 141074 ms ] IR: 24  Full: 60  Visible: 36  Lux: 0
[ 141697 ms ] IR: 26  Full: 48  Visible: 22  Lux: 0
[ 142320 ms ] IR: 14  Full: 62  Visible: 48  Lux: 0
